Year,Mean,StdDev,Min,Max
2011,1.93,1.02,0.74,3.98
2012,1.89,0.97,0.74,3.83
2013,1.85,0.93,0.73,3.69
2014,1.81,0.89,0.73,3.55
2015,1.76,0.93,0.73,3.72
2016,1.72,1.02,0.7,3.86
2017,1.68,0.97,0.7,3.71
2018,1.64,0.93,0.69,3.58
2019,1.61,0.89,0.69,3.46
2020,1.08,0.41,0.57,1.9
2021,0.57,0.2,0.39,0.9
2022,0.57,0.2,0.39,0.89
2023,0.57,0.2,0.39,0.88
2024,0.56,0.2,0.39,0.87
2025,0.56,0.21,0.33,0.88
2026,0.56,0.22,0.27,0.89
2027,0.56,0.22,0.27,0.89
2028,0.55,0.22,0.27,0.88
2029,0.55,0.21,0.27,0.87
2030,0.5,0.18,0.26,0.77
2031,0.46,0.15,0.26,0.66
2032,0.45,0.15,0.26,0.66
2033,0.45,0.15,0.25,0.65
2034,0.45,0.15,0.25,0.65
2035,0.39,0.16,0.19,0.62
2036,0.32,0.17,0.12,0.58
2037,0.32,0.17,0.12,0.58
2038,0.32,0.17,0.12,0.58
2039,0.32,0.17,0.12,0.57
2040,0.28,0.13,0.12,0.45
2041,0.24,0.1,0.12,0.38
2042,0.24,0.1,0.12,0.38
2043,0.24,0.1,0.12,0.38
2044,0.24,0.1,0.12,0.37
2045,0.17,0.1,0.05,0.3
2046,0.11,0.1,-0.02,0.23
2047,0.11,0.1,-0.02,0.23
2048,0.11,0.1,-0.02,0.23
2049,0.11,0.1,-0.02,0.23
2050,0.1,0.09,-0.02,0.2
